EMPRESA,CODIGO,SETOR,PAIS DE ORIGEM
LIBERTY BROA,LBRD34,Comunicaá?oˇ,EUA
LIBERTY GLOB,L1BT34,Telecomunicaá?es,EUA
LIBERTY GLOBAL PLC,L1BT35,Comunicaá?o,Reino Unido
LIBERTY MEDI,LSXM34,Comunicaá?oˇ,EUA
LIBERTY MEDIA CORPORATION,LSXM35,Comunicaá?o,EUA
LILLY,LILY34,Farmacàuticos,EUA
LINCOLN NATIONAL CORP,L1NC34,Holding,EUA
LINDE PLC,L1IN34,Qu°micos,EUA
LIVE NATION ENTERTAINMENT INC,L1YV34,Teatro,EUA
LKQ CORP,L1KQ34,Peáas Automotivas,EUA
LLOYDS BANKING GROUP PLC,L1YG34,Financeiro,Reino Unido
LOEWS CORP,L1OE34,Holding,EUA
LOWE?S COMPA,LOWC34,ComÇrcio ? Construá?oˇ,EUA
LULULEMON ATHLETICA INC,L1UL34,Varejista de roupasˇ,EUA
LUMEN TECHNOLOGIES INC,L1MN34,Tecnologia,EUA
LYONDELLBASELL INDUSTRIES NV,L1YB34,Qu°micos,EUA
M&T BANK CORP,M1TB34,Instituiá?o Financeira,EUA
MACY S,MACY34,"Tecidos, Vestu†rio e Caláados",EUA
MARATHON OIL,M1RO34,"Petr¢leo, G†s e Biocombust°veis",EUA
MARATHON PET,M1PC34,"Petr¢leo, G†s e Biocombust°veis",EUA
MARKEL CORP,MKLC34,Serviáos Financeirosˇ,EUA
MARKETAXESS HOLDINGS INC,M1KT34,Financeiro,EUA
MARRIOTT INTERNATIONAL INC,M1TT34,HotÇis,EUA
MARSH & MCLENNAN COS INC,M1MC34,Serviáos,EUA
MARTIN MARIETTA MATERIALS INC,M1LM34,Construá?o,EUA
MASCO CORP,M1AS34,Construá?o,EUA
MATCH GROUP INC,M1TC34,Comunicaá?o,EUA
MAXIM INTEGRATED PRODUCTS INC,M1XI34,Semicondutores,EUA
MCCORMICK & CO INC,M1KC34,Alimentos,EUA
MCDONALDS,MCDC34,Restaurantes & Bares,EUA
MCKESSON CORP,M1CK34,Sa£de,EUA
MEDTRONIC,MDTC34,Medicamentos e Outros Produtos,EUA
MELCO RESORTS & ENTERTAINMENT LTD,M1LC34,Hotelaria,Hong Kong
MERCADO LIVRE,MELI34,Comunicaá?o,Argentina
MERCK,MRCK34,Farmacàuticos,EUA
METTLER-TOLEDO INTERNATIONAL INC,M1TD34,Instrumentos para laborat¢rios,EUA
MGM RESORTSˇ,M1GM34,H¢teis,EUA
MICROCHIP TE,M1CH34,Tecnologia,EUA
MICRON TECHN,MUTC34,Tecnologia,EUA
MICROSOFT,MSFT34,Semicondutor amplo,EUA
MID-AMERICA APARTMENT COMMUNITIES INC,M1AA34,Fundo de investimento imobili†rio,EUA
MITSUBISHI UFJ FINANCIAL GROUP INC,M1UF34,Financeiro,Japan
MOBILE TELESYSTEMS PJSC,M1BT34,Comunicaá?o,Russian Federation
MODERNA INC,M1RN34,Farmacàutico,EUA
MOHAWK INDUSTRIES INC,M1HK34,Tecnologia,EUA
MOLSON COORS BREWING CO,M1CB34,Bebidas,EUA
MONDELEZ INTˇ,MDLZ34,Consumo,EUA
MONGODB INC,M1DB34,Tecnologia,EUA
MONSTER BEVERAGE CORP,M1NS34,Bebidas,EUA
MOODY?S CORP,MCOR34,Serviáos Financeirosˇ,EUA
MOSAIC CO,MOSC34,Materiais B†sicosˇ,EUA
MOTOROLA SOLUTIONS INC,M1SI34,Construá?o,EUA
MSCI INC,M1SC34,Serviáos Financeirosˇ,EUA
NASDAQ INC,N1DA34,Serviáos Financeirosˇ,EUA
NATIONAL GRID PLC,N1GG34,Utilidades,Reino Unido
NATIONAL OILWELL VARCO INC,N1OV34,"Petr¢leo, G†s e Biocombust°veis",EUA
NATWEST GROUP PLC,N1WG34,Financeiro,Reino Unido
NETAPP INC,N1TA34,Tecnologia,EUA
NETEASE,NETE34,Tecnologia,China
NETFLIX,NFLX34,Lojas de M£sica e V°deo,EUA
NEUROCRINE BIOSCIENCES INC,N1BI34,Farmacàutico,EUA
NEW ORIENTAL EDU & TECH GROUP INC,E1DU34,Escolas,China
NEWELL BRAND,N1WL34,Bens de consumo,EUA
NEWMONT GOLD,N1EM34,Mineraá?o,EUA
